Full Name,Date of Birth,Nationality,Gender,Marital Status,Occupation,Employer,Years with Employer,Residential Address,Phone Number,Email,Account Type,Account Number,Currency,Annual Salary (CHF),Monthly Rental Income (CHF),Total Assets (CHF),Total Deposits (CHF),Total Withdrawals (CHF),Active Loans,Banking Products Used,Source of Wealth,Investment Knowledge,Investment Objective,Risk Profile,Compliance Notes,PEP Status,Sanctions Check,AML Risk,Geographical Risk,bu_name,pc_segment,client portfolio,RM,Story of Wealth,Affluence
Miss Madison Johnson PhD,1967-09-13,DE,Female,Married,Photographer,"Coleman, Smith and Brown",13,"0224 Traci Streets, Millermouth, AS 63813",001-442-311-4243x64731,timothygibbs@example.org,Checking,HSTR01805241372054,CHF,95170.76,3030.08,916862.36,171674.84,248780.72,3,"['Checking Account', 'Savings Account', 'Investment Account']","Salary, Real Estate, Capital Gains",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Moderate Growth,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,Yes,Cleared,Low,Medium,LI,RM serviced PB,"[{'Stock': 'ADBE', 'Shares Owned': 224, 'Allocation (%)': 12.07}, {'Stock': 'MSFT', 'Shares Owned': 333, 'Allocation (%)': 25.95}, {'Stock': 'META', 'Shares Owned': 151, 'Allocation (%)': 40.51}, {'Stock': 'CAT', 'Shares Owned': 60, 'Allocation (%)': 11.57}, {'Stock': 'NVDA', 'Shares Owned': 417, 'Allocation (%)': 1.17}, {'Stock': 'USO', 'Shares Owned': 84, 'Allocation (%)': 3.26}, {'Stock': 'INTC', 'Shares Owned': 80, 'Allocation (%)': 1.88}, {'Stock': 'EEM', 'Shares Owned': 199, 'Allocation (%)': 1.06}, {'Stock': 'ETH', 'Shares Owned': 308, 'Allocation (%)': 1.43}, {'Stock': 'TSLA', 'Shares Owned': 476, 'Allocation (%)': 1.100000000000006}]",Arthur Elliott, invested early in tech stocks and achieved financial independence.,UHNWI
Christina Benson,1986-12-11,LI,Male,Widowed,"Designer, graphic",Edwards-Campbell,14,"0159 Juarez Haven, North Sarahhaven, MT 31400",001-894-807-9084x462,huangjessica@example.net,Checking,DJBC09071399013217,CHF,56833.04,4022.88,1342587.92,151079.68,175505.96,1,"['Checking Account', 'Savings Account']","Inheritance, Savings, Salary","Client is highly knowledgeable about derivatives, structured products, and alternative investment vehicles. Experience includes cryptocurrency investments and international equities. Understands hedging and leverage strategies.",Income Generation,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,No,Cleared,Low,Low,CH,RM serviced PB,"[{'Stock': 'AGG', 'Shares Owned': 427, 'Allocation (%)': 76.84}, {'Stock': 'CVX', 'Shares Owned': 369, 'Allocation (%)': 1.59}, {'Stock': 'ARKF', 'Shares Owned': 92, 'Allocation (%)': 7.84}, {'Stock': 'Siemens', 'Shares Owned': 20, 'Allocation (%)': 6.23}, {'Stock': 'EFA', 'Shares Owned': 246, 'Allocation (%)': 1.9}, {'Stock': 'ADA', 'Shares Owned': 215, 'Allocation (%)': 1.43}, {'Stock': 'XOM', 'Shares Owned': 259, 'Allocation (%)': 1.13}, {'Stock': 'NEE', 'Shares Owned': 197, 'Allocation (%)': 1.01}, {'Stock': 'META', 'Shares Owned': 86, 'Allocation (%)': 1.02}, {'Stock': 'ARKG', 'Shares Owned': 180, 'Allocation (%)': 1.0099999999999967}]",Arthur Elliott, bet big on crypto and achieved financial independence.,UHNWI
Christine Williams,1979-02-19,CH,Female,Divorced,Manufacturing engineer,"Simmons, Roberts and King",15,"359 Kim Vista, Parkerton, AR 42532",001-837-955-2809x5554,matthew16@example.com,Checking,YVGJ83868583402270,CHF,87195.04,4421.36,570060.32,291971.6,147084.68,1,"['Savings Account', 'Investment Account']","Business Income, Investments","Client is highly knowledgeable about derivatives, structured products, and alternative investment vehicles. Experience includes cryptocurrency investments and international equities. Understands hedging and leverage strategies.",Moderate Growth,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,"Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",Yes,Cleared,Medium,Low,LI,Com. & Retail,"[{'Stock': 'Allianz', 'Shares Owned': 408, 'Allocation (%)': 34.26}, {'Stock': 'ARKF', 'Shares Owned': 67, 'Allocation (%)': 27.84}, {'Stock': 'BND', 'Shares Owned': 241, 'Allocation (%)': 30.46}, {'Stock': 'EFA', 'Shares Owned': 62, 'Allocation (%)': 1.1}, {'Stock': 'AAPL', 'Shares Owned': 62, 'Allocation (%)': 1.08}, {'Stock': 'BASF', 'Shares Owned': 497, 'Allocation (%)': 1.07}, {'Stock': 'AMZN', 'Shares Owned': 279, 'Allocation (%)': 1.15}, {'Stock': 'SLV', 'Shares Owned': 434, 'Allocation (%)': 1.03}, {'Stock': 'VTI', 'Shares Owned': 419, 'Allocation (%)': 1.01}, {'Stock': 'BA', 'Shares Owned': 23, 'Allocation (%)': 1.000000000000005}]",Mary Greene, invested early in tech stocks and became a mentor.,Affluent
James Bailey,1987-06-23,LI,Female,Married,Toxicologist,"Ferguson, Terry and Robinson",25,"USCGC Cooper, FPO AA 84941",(760)609-6443x71626,melissa83@example.net,Savings,PZCS29035535632950,CHF,84827.96,5659.64,1314240.08,184628.16,133417.36,3,"['Checking Account', 'Savings Account']","Salary, Real Estate, Capital Gains",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Moderate Growth,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,Yes,Cleared,Medium,Medium,BVI,RM serviced PB,"[{'Stock': 'XOM', 'Shares Owned': 433, 'Allocation (%)': 21.49}, {'Stock': 'SPY', 'Shares Owned': 65, 'Allocation (%)': 64.29}, {'Stock': 'ARKF', 'Shares Owned': 247, 'Allocation (%)': 3.0}, {'Stock': 'Volkswagen', 'Shares Owned': 413, 'Allocation (%)': 4.17}, {'Stock': 'USO', 'Shares Owned': 296, 'Allocation (%)': 1.34}, {'Stock': 'TSLA', 'Shares Owned': 388, 'Allocation (%)': 1.08}, {'Stock': 'EFA', 'Shares Owned': 120, 'Allocation (%)': 1.29}, {'Stock': 'ADA', 'Shares Owned': 60, 'Allocation (%)': 1.3}, {'Stock': 'BND', 'Shares Owned': 313, 'Allocation (%)': 1.03}, {'Stock': 'CVX', 'Shares Owned': 343, 'Allocation (%)': 1.0099999999999991}]",Arthur Elliott, invested early in tech stocks and retired early.,Affluent
Julie Delgado,1989-04-26,DE,Male,Single,Purchasing manager,"Cherry, Zimmerman and Brown",2,"PSC 2570, Box 6499, APO AE 09093",(799)527-3136,chelseymartin@example.com,Savings and Investment,JTHD17308277106303,CHF,118484.56,6152.64,533583.08,95236.72,34996.88,0,"['Checking Account', 'Savings Account']","Inheritance, Savings, Salary","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Income Generation,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,Yes,Cleared,Low,Medium,LU,EAM,"[{'Stock': 'SAP', 'Shares Owned': 438, 'Allocation (%)': 54.55}, {'Stock': 'GLD', 'Shares Owned': 115, 'Allocation (%)': 32.38}, {'Stock': 'ARKK', 'Shares Owned': 123, 'Allocation (%)': 2.87}, {'Stock': 'TSLA', 'Shares Owned': 218, 'Allocation (%)': 1.76}, {'Stock': 'ADBE', 'Shares Owned': 101, 'Allocation (%)': 2.22}, {'Stock': 'CAT', 'Shares Owned': 314, 'Allocation (%)': 1.23}, {'Stock': 'Novartis', 'Shares Owned': 202, 'Allocation (%)': 1.93}, {'Stock': 'BND', 'Shares Owned': 420, 'Allocation (%)': 1.01}, {'Stock': 'BASF', 'Shares Owned': 188, 'Allocation (%)': 1.01}, {'Stock': 'AAPL', 'Shares Owned': 462, 'Allocation (%)': 1.039999999999999}]",Mary Greene, launched a coffee chain but lost it all in a crash.,Non-Affluent
Caitlin Harris,1977-01-05,LI,Female,Widowed,Dealer,Taylor-Moran,14,"516 Ann Gardens, Romanview, NE 07297",+1-906-824-5719x2937,colton99@example.com,Savings,TDCL65758673017891,CHF,108589.2,1820.36,690845.32,74547.72,170580.72,1,"['Savings Account', 'Investment Account']","Inheritance, Savings, Salary","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Income Generation,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,"Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",Yes,Cleared,Low,Low,SG,RM serviced PB,"[{'Stock': 'USO', 'Shares Owned': 275, 'Allocation (%)': 40.12}, {'Stock': 'LVMH', 'Shares Owned': 310, 'Allocation (%)': 8.97}, {'Stock': 'GE', 'Shares Owned': 359, 'Allocation (%)': 36.96}, {'Stock': 'Roche', 'Shares Owned': 113, 'Allocation (%)': 5.36}, {'Stock': 'SOL', 'Shares Owned': 100, 'Allocation (%)': 1.83}, {'Stock': 'VTI', 'Shares Owned': 328, 'Allocation (%)': 2.45}, {'Stock': 'NFLX', 'Shares Owned': 372, 'Allocation (%)': 1.29}, {'Stock': 'ADA', 'Shares Owned': 462, 'Allocation (%)': 1.01}, {'Stock': 'SAP', 'Shares Owned': 371, 'Allocation (%)': 1.01}, {'Stock': 'Allianz', 'Shares Owned': 383, 'Allocation (%)': 1.0000000000000033}]",Mary Greene, focused on real estate and retired early.,UHNWI
Barbara West,1992-05-04,DE,Female,Divorced,Herbalist,"Garner, Lee and Collier",4,"602 Payne Overpass Apt. 989, Kelseytown, CT 57528",990-347-9839x6716,virginia68@example.net,Savings,JHPM25010347182536,CHF,131202.6,6701.4,528583.04,126841.76,67205.08,3,"['Checking Account', 'Savings Account']","Salary, Real Estate, Capital Gains","Client has moderate knowledge of financial markets, primarily investing in mutual funds and fixed income securities. Familiar with basic risk-return tradeoffs and market volatility, but prefers conservative investment strategies.",Capital Preservation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,Yes,Cleared,Medium,Medium,LU,EAM,"[{'Stock': 'QQQ', 'Shares Owned': 212, 'Allocation (%)': 25.61}, {'Stock': 'META', 'Shares Owned': 280, 'Allocation (%)': 22.27}, {'Stock': 'ARKK', 'Shares Owned': 59, 'Allocation (%)': 4.37}, {'Stock': 'ARKG', 'Shares Owned': 273, 'Allocation (%)': 5.46}, {'Stock': 'TSLA', 'Shares Owned': 377, 'Allocation (%)': 16.98}, {'Stock': 'AGG', 'Shares Owned': 236, 'Allocation (%)': 14.28}, {'Stock': 'ADA', 'Shares Owned': 257, 'Allocation (%)': 5.83}, {'Stock': 'NEE', 'Shares Owned': 400, 'Allocation (%)': 2.69}, {'Stock': 'BA', 'Shares Owned': 153, 'Allocation (%)': 1.19}, {'Stock': 'EEM', 'Shares Owned': 137, 'Allocation (%)': 1.3200000000000065}]",Arthur Elliott, invested early in tech stocks but lost it all in a crash.,Non-Affluent
Kendra Ramos,1991-11-02,CH,Male,Married,Teaching laboratory technician,"Taylor, English and Gonzalez",17,"930 Kevin Street, Port Jasonside, AS 65336",(414)818-0456x1178,alvaradojoel@example.com,Savings,PYQD35063763760551,CHF,57761.92,4609.04,1008603.2,252178.68,220510.4,0,['Savings Account'],"Salary, Real Estate, Capital Gains","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Aggressive Growth,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,Yes,Cleared,Low,Medium,LI,RM serviced PB,"[{'Stock': 'INTC', 'Shares Owned': 135, 'Allocation (%)': 85.55}, {'Stock': 'CVX', 'Shares Owned': 419, 'Allocation (%)': 5.81}, {'Stock': 'GOOGL', 'Shares Owned': 190, 'Allocation (%)': 1.58}, {'Stock': 'MSFT', 'Shares Owned': 378, 'Allocation (%)': 1.02}, {'Stock': 'AGG', 'Shares Owned': 145, 'Allocation (%)': 1.03}, {'Stock': 'GE', 'Shares Owned': 215, 'Allocation (%)': 1.0}, {'Stock': 'SOL', 'Shares Owned': 395, 'Allocation (%)': 1.0}, {'Stock': 'LVMH', 'Shares Owned': 262, 'Allocation (%)': 1.0}, {'Stock': 'BTC', 'Shares Owned': 230, 'Allocation (%)': 1.01}, {'Stock': 'NVDA', 'Shares Owned': 399, 'Allocation (%)': 1.0000000000000042}]",Mary Greene, launched a coffee chain and retired early.,Non-Affluent
Craig Black,1997-02-05,CH,Female,Married,Print production planner,"Smith, Phillips and Obrien",14,"651 Wood Pine Suite 107, Taylorfort, MH 52866",+1-219-469-6955,ariel96@example.com,Checking,CJAG40151398799374,CHF,106918.44,2630.92,893611.8,121244.0,104354.16,2,"['Checking Account', 'Savings Account']","Salary, Real Estate, Capital Gains",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Income Generation,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,Yes,Cleared,Medium,Medium,SG,EAM,"[{'Stock': 'XOM', 'Shares Owned': 124, 'Allocation (%)': 70.11}, {'Stock': 'GE', 'Shares Owned': 136, 'Allocation (%)': 17.2}, {'Stock': 'ARKG', 'Shares Owned': 249, 'Allocation (%)': 5.02}, {'Stock': 'SLV', 'Shares Owned': 288, 'Allocation (%)': 1.03}, {'Stock': 'TIP', 'Shares Owned': 236, 'Allocation (%)': 1.16}, {'Stock': 'BND', 'Shares Owned': 204, 'Allocation (%)': 1.19}, {'Stock': 'NEE', 'Shares Owned': 138, 'Allocation (%)': 1.2}, {'Stock': 'ETH', 'Shares Owned': 449, 'Allocation (%)': 1.02}, {'Stock': 'BASF', 'Shares Owned': 101, 'Allocation (%)': 1.07}, {'Stock': 'SAP', 'Shares Owned': 207, 'Allocation (%)': 1.0000000000000007}]",Arthur Elliott, ran a quant hedge fund and achieved financial independence.,Non-Affluent
Joanne Ward,1974-06-09,LI,Female,Married,Meteorologist,Willis-Marshall,7,"19686 Dawn Summit, New Kyle, MA 28502",795.760.8689x56793,shellyhowell@example.org,Savings,LQOG68787626808221,CHF,110449.0,96.56,1027244.72,186395.48,199842.48,1,"['Checking Account', 'Savings Account']","Salary, Real Estate, Capital Gains","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Income Generation,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,"Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",No,Cleared,Medium,High,LI,EAM,"[{'Stock': 'Roche', 'Shares Owned': 323, 'Allocation (%)': 22.39}, {'Stock': 'TIP', 'Shares Owned': 321, 'Allocation (%)': 11.37}, {'Stock': 'NFLX', 'Shares Owned': 168, 'Allocation (%)': 18.81}, {'Stock': 'MSFT', 'Shares Owned': 61, 'Allocation (%)': 13.7}, {'Stock': 'QQQ', 'Shares Owned': 84, 'Allocation (%)': 8.81}, {'Stock': 'Novartis', 'Shares Owned': 278, 'Allocation (%)': 4.78}, {'Stock': 'SLV', 'Shares Owned': 123, 'Allocation (%)': 2.34}, {'Stock': 'USO', 'Shares Owned': 260, 'Allocation (%)': 8.88}, {'Stock': 'GLD', 'Shares Owned': 218, 'Allocation (%)': 7.61}, {'Stock': 'AMZN', 'Shares Owned': 99, 'Allocation (%)': 1.3099999999999854}]",Cynthia Baker, invested early in tech stocks and lives quietly by the sea.,Non-Affluent
David Reid,1993-03-31,CH,Male,Married,Product designer,Lee Ltd,24,"1705 Walker Underpass, Cartermouth, IN 38433",+1-735-798-6440x201,fanderson@example.org,Checking,RFPU04470536348745,CHF,64878.12,1327.36,323563.72,178378.28,83935.8,1,"['Checking Account', 'Savings Account', 'Investment Account']","Salary, Rental Income, Stock Investments",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Income Generation,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,No,Cleared,Low,Low,BVI,EAM,"[{'Stock': 'SLV', 'Shares Owned': 174, 'Allocation (%)': 20.93}, {'Stock': 'ARKG', 'Shares Owned': 307, 'Allocation (%)': 34.16}, {'Stock': 'MSFT', 'Shares Owned': 440, 'Allocation (%)': 8.14}, {'Stock': 'NFLX', 'Shares Owned': 214, 'Allocation (%)': 21.59}, {'Stock': 'GLD', 'Shares Owned': 272, 'Allocation (%)': 4.48}, {'Stock': 'NEE', 'Shares Owned': 421, 'Allocation (%)': 3.65}, {'Stock': 'BTC', 'Shares Owned': 376, 'Allocation (%)': 3.2}, {'Stock': 'ARKF', 'Shares Owned': 88, 'Allocation (%)': 1.03}, {'Stock': 'ADA', 'Shares Owned': 25, 'Allocation (%)': 1.53}, {'Stock': 'ARKK', 'Shares Owned': 462, 'Allocation (%)': 1.289999999999995}]",Arthur Elliott, bet big on crypto and achieved financial independence.,UHNWI
Darren Russo,1975-10-12,LI,Male,Widowed,"Surveyor, hydrographic","Juarez, Wise and Macias",5,"14763 Taylor Point Apt. 570, South Jared, ME 40839",598.432.1671,ogonzalez@example.net,Checking,WPXL36893807653644,CHF,93386.44,4803.52,361682.48,333743.32,263041.0,0,['Savings Account'],"Business Income, Investments","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Aggressive Growth,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,"Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",Yes,Cleared,Low,Medium,LI,Com. & Retail,"[{'Stock': 'Novartis', 'Shares Owned': 339, 'Allocation (%)': 73.38}, {'Stock': 'LVMH', 'Shares Owned': 161, 'Allocation (%)': 5.29}, {'Stock': 'ETH', 'Shares Owned': 231, 'Allocation (%)': 5.15}, {'Stock': 'EEM', 'Shares Owned': 377, 'Allocation (%)': 4.11}, {'Stock': 'INTC', 'Shares Owned': 51, 'Allocation (%)': 1.56}, {'Stock': 'GE', 'Shares Owned': 73, 'Allocation (%)': 4.27}, {'Stock': 'ARKK', 'Shares Owned': 455, 'Allocation (%)': 1.56}, {'Stock': 'Allianz', 'Shares Owned': 418, 'Allocation (%)': 1.29}, {'Stock': 'ADA', 'Shares Owned': 109, 'Allocation (%)': 1.09}, {'Stock': 'ARKG', 'Shares Owned': 141, 'Allocation (%)': 2.300000000000007}]",Arthur Elliott, bet big on crypto and retired early.,UHNWI
Christina Wilson,1993-09-21,CH,Male,Married,"Editor, magazine features",Burns-Escobar,12,"Unit 7343 Box 4969, DPO AP 72149",(830)800-6081x36669,ojohnson@example.org,Savings,SUHF12337280302682,CHF,83999.72,5919.4,1316509.24,182403.88,24685.36,1,"['Checking Account', 'Savings Account']","Salary, Real Estate, Capital Gains",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Income Generation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,No,Cleared,Low,Medium,CH,EAM,"[{'Stock': 'ARKK', 'Shares Owned': 90, 'Allocation (%)': 13.73}, {'Stock': 'ETH', 'Shares Owned': 282, 'Allocation (%)': 68.99}, {'Stock': 'BASF', 'Shares Owned': 323, 'Allocation (%)': 5.02}, {'Stock': 'Allianz', 'Shares Owned': 329, 'Allocation (%)': 5.49}, {'Stock': 'AMZN', 'Shares Owned': 216, 'Allocation (%)': 1.04}, {'Stock': 'Siemens', 'Shares Owned': 322, 'Allocation (%)': 1.17}, {'Stock': 'BTC', 'Shares Owned': 244, 'Allocation (%)': 1.09}, {'Stock': 'USO', 'Shares Owned': 319, 'Allocation (%)': 1.05}, {'Stock': 'MSFT', 'Shares Owned': 49, 'Allocation (%)': 1.29}, {'Stock': 'Roche', 'Shares Owned': 463, 'Allocation (%)': 1.1300000000000017}]",Mary Greene, invested early in tech stocks and achieved financial independence.,UHNWI
Jennifer Holloway,1967-11-30,LI,Female,Married,Public librarian,Hunt-Anderson,14,"1540 Kayla Tunnel Suite 890, West Richardstad, PW 94156",815-779-4040x584,zimmermanchristopher@example.org,Savings,YKMF31399682995991,CHF,65813.12,5018.4,1317377.6,46422.24,258285.76,1,"['Checking Account', 'Savings Account']","Salary, Real Estate, Capital Gains","Client has moderate knowledge of financial markets, primarily investing in mutual funds and fixed income securities. Familiar with basic risk-return tradeoffs and market volatility, but prefers conservative investment strategies.",Moderate Growth,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,Yes,Cleared,Low,Medium,SG,RM serviced PB,"[{'Stock': 'VTI', 'Shares Owned': 340, 'Allocation (%)': 85.87}, {'Stock': 'SOL', 'Shares Owned': 208, 'Allocation (%)': 4.39}, {'Stock': 'AAPL', 'Shares Owned': 414, 'Allocation (%)': 2.17}, {'Stock': 'AMZN', 'Shares Owned': 74, 'Allocation (%)': 1.32}, {'Stock': 'NVDA', 'Shares Owned': 34, 'Allocation (%)': 1.05}, {'Stock': 'ADA', 'Shares Owned': 98, 'Allocation (%)': 1.19}, {'Stock': 'CAT', 'Shares Owned': 316, 'Allocation (%)': 1.01}, {'Stock': 'LVMH', 'Shares Owned': 167, 'Allocation (%)': 1.0}, {'Stock': 'INTC', 'Shares Owned': 210, 'Allocation (%)': 1.0}, {'Stock': 'MSFT', 'Shares Owned': 377, 'Allocation (%)': 0.9999999999999947}]",Arthur Elliott, bet big on crypto and keeps growing steadily.,Non-Affluent
Matthew Williams,1982-11-28,CH,Female,Single,"Nurse, mental health",Stephens-Sosa,20,"PSC 9871, Box 8119, APO AE 70324",(450)304-4798x962,wmoreno@example.org,Savings and Investment,YEKM08758130791194,CHF,126595.6,5405.32,792335.32,210415.8,137072.36,2,['Savings Account'],"Business Income, Investments",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Income Generation,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,"Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",Yes,Cleared,Medium,Low,CH,Com. & Retail,"[{'Stock': 'NFLX', 'Shares Owned': 85, 'Allocation (%)': 1.23}, {'Stock': 'AAPL', 'Shares Owned': 382, 'Allocation (%)': 27.81}, {'Stock': 'ARKK', 'Shares Owned': 375, 'Allocation (%)': 12.31}, {'Stock': 'QQQ', 'Shares Owned': 290, 'Allocation (%)': 26.05}, {'Stock': 'GLD', 'Shares Owned': 407, 'Allocation (%)': 14.82}, {'Stock': 'ARKG', 'Shares Owned': 183, 'Allocation (%)': 4.96}, {'Stock': 'SAP', 'Shares Owned': 41, 'Allocation (%)': 6.66}, {'Stock': 'BA', 'Shares Owned': 126, 'Allocation (%)': 3.01}, {'Stock': 'GOOGL', 'Shares Owned': 290, 'Allocation (%)': 1.04}, {'Stock': 'Roche', 'Shares Owned': 227, 'Allocation (%)': 2.109999999999993}]",Arthur Elliott, ran a quant hedge fund but lost it all in a crash.,Affluent
Kristen Mann,1985-05-28,DE,Female,Widowed,Geoscientist,Davis-Griffith,26,"6431 Lawrence Mill Suite 108, New Nathan, GU 08255",391.278.4990,rogersmatthew@example.com,Savings and Investment,VECH27067043223477,CHF,69366.12,3622.36,481199.28,314236.84,181077.2,1,['Savings Account'],"Business Income, Investments","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Capital Preservation,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,Yes,Cleared,Low,High,LU,EAM,"[{'Stock': 'TIP', 'Shares Owned': 79, 'Allocation (%)': 41.83}, {'Stock': 'AGG', 'Shares Owned': 81, 'Allocation (%)': 27.3}, {'Stock': 'GLD', 'Shares Owned': 409, 'Allocation (%)': 21.09}, {'Stock': 'CAT', 'Shares Owned': 140, 'Allocation (%)': 1.88}, {'Stock': 'BASF', 'Shares Owned': 202, 'Allocation (%)': 1.84}, {'Stock': 'AMZN', 'Shares Owned': 436, 'Allocation (%)': 1.59}, {'Stock': 'SLV', 'Shares Owned': 411, 'Allocation (%)': 1.46}, {'Stock': 'EFA', 'Shares Owned': 286, 'Allocation (%)': 1.0}, {'Stock': 'SPY', 'Shares Owned': 414, 'Allocation (%)': 1.0}, {'Stock': 'NVDA', 'Shares Owned': 22, 'Allocation (%)': 1.0100000000000016}]",Arthur Elliott, bet big on crypto and lives quietly by the sea.,Non-Affluent
